wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
01379184-n,source of the antibiotic streptomycin,i42557,Streptomyces griseus,Q7623385
01379288-n,cause of a potato disease characterized by brownish corky tissue,i42558,potato scab bacteria|Streptomyces scabies,Q12321467
01379919-n,cause of tuberculosis,i42562,tubercle bacillus|Mycobacterium tuberculosis,Q130971
01380445-n,cause of leprosy,i42567,leprosy bacillus|Mycobacterium leprae,Q155891
01382939-n,a bacterium that is used to make yogurt and to supplement probiotics,i42579,acidophilus|Lactobacillus acidophilus,Q132644
01408499-n,brown algae with rounded bladders forming dense floating masses in tropical Atlantic waters as in the Sargasso Sea,i42715,gulfweed|sargassum|sargasso|Sargassum bacciferum,Q68189616
01417274-n,dark purple edible seaweed of the Atlantic coasts of Europe and North America,i42763,Irish moss|carrageen|carageen|carragheen|Chondrus crispus,Q4963539
01417780-n,coarse edible red seaweed,i42766,dulse|Rhodymenia palmata,Q104919807
01420315-n,large bioluminescent marine protozoan,i42778,noctiluca|Noctiluca miliaris,Q104912737
01421139-n,flagellate protozoan that causes leishmaniasis,i42783,Leishmania|genus Leishmania,Q524818
01443108-n,European freshwater fish having a flattened body and silvery scales; of little value as food,i42859,European bream|Abramis brama,Q144534
01444383-n,small blunt-nosed fish of Great Lakes and Mississippi valley with a greenish luster,i42867,emerald shiner|Notropis atherinoides,Q1979063
01444551-n,the common North American shiner,i42868,common shiner|silversides|Notropis cornutus,Q106388817
01445613-n,very small European freshwater fish common in gravelly streams,i42876,minnow|Phoxinus phoxinus,Q214278
01448234-n,fish of the lower Mississippi,i42892,black buffalo|Ictiobus niger,Q136536
01448498-n,widely distributed in warm clear shallow streams,i42894,hog sucker|hog molly|Hypentelium nigricans,Q3764682
01449972-n,black-barred fish of bays and coastal marshes of the Atlantic and Gulf Coast of the United States,i42902,striped killifish|mayfish|may fish|Fundulus majalis,Q2186171
01453591-n,on reefs from Bermuda and Florida to northern South America,i42923,reef squirrelfish|Holocentrus coruscus,Q106378315
01453756-n,a squirrelfish found from South Carolina to Bermuda and Gulf of Mexico,i42924,deepwater squirrelfish|Holocentrus bullisi,Q106378251
01454986-n,fish of deep dark waters having a light organ below each eye,i42932,flashlight fish|Photoblepharon palpebratus,Q106377954
01456116-n,fish with a projecting snout,i42940,boarfish|Capros aper,Q1278796
01457958-n,of rivers and coastal regions,i42950,three-spined stickleback|Gasterosteus aculeatus,Q203572
01458778-n,small (4 inches) fish found off the Florida Gulf Coast,i42955,dwarf pipefish|Syngnathus hildebrandi,Q106436344
01459095-n,a fish 8 inches long; found from eastern Florida to western Caribbean,i42957,deepwater pipefish|Cosmocampus profundus,Q2380746
01460493-n,tropical Atlantic fish with a long snout; swims snout down,i42966,trumpetfish|Aulostomus maculatus,Q1966255
01480516-n,large anadromous lamprey sometimes used as food; destructive of native fish fauna in the Great Lakes,i43068,sea lamprey|Petromyzon marinus,Q385764
01481610-n,typical hagfish,i43073,Myxine glutinosa,Q780327
01484139-n,large European chimaera,i43089,rabbitfish|Chimaera monstrosa,Q1160972
01485662-n,large primitive shark widely distributed in warm seas,i43095,cow shark|six-gilled shark|Hexanchus griseus,Q312293
01487088-n,similar to shortfin mako but darker blue,i43104,longfin mako|Isurus paucus,Q207630
01488120-n,large harmless plankton-eating northern shark; often swims slowly or floats at the sea surface,i43110,basking shark|Cetorhinus maximus,Q185260
01489479-n,small bottom-dwelling shark of warm shallow waters on both coasts of North America and South America and from southeast Asia to Australia,i43118,nurse shark|Ginglymostoma cirratum,Q756859
01490147-n,shallow-water shark with sharp jagged teeth found on both sides of Atlantic; sometimes dangerous to swimmers,i43121,sand tiger|sand shark|Carcharias taurus|Odontaspis taurus,Q625161
01492142-n,a most common shark in temperate and tropical coastal waters worldwide; heavy-bodied and dangerous,i43130,bull shark|cub shark|Carcharhinus leucas,Q190469
01492350-n,most common grey shark along coasts of middle Atlantic states; sluggish and occasionally caught by fishermen,i43131,sandbar shark|Carcharhinus plumbeus,Q304539
01493311-n,common shallow-water schooling shark of the Atlantic from North Carolina to Brazil and off west Africa; dangerous,i43136,lemon shark|Negaprion brevirostris,Q206495
01493647-n,"slender cosmopolitan, pelagic shark; blue body shades to white belly; dangerous especially during maritime disasters",i43138,blue shark|great blue shark|Prionace glauca,Q26337
01495210-n,smooth dogfish of European coastal waters,i43147,smoothhound|smoothhound shark|Mustelus mustelus,Q260097
01495349-n,found along the Atlantic coast of the Americas,i43148,American smooth dogfish|Mustelus canis,Q941962
01495501-n,found from the northern Gulf of Mexico to Brazil,i43149,Florida smoothhound|Mustelus norrisi,Q2619358
01496470-n,destructive dogfish of the Atlantic coastal waters of America and Europe; widely used in anatomy classes,i43155,Atlantic spiny dogfish|Squalus acanthias,Q212694
01497523-n,fished for the hide and vitamin-rich liver,i43161,smalleye hammerhead|Sphyrna tudes,Q1150019
01502037-n,ray with back covered with white or yellow spots; widely distributed in warm seas,i43186,spotted eagle ray|spotted ray|Aetobatus narinari,Q655565
01502373-n,large ray found along eastern coast of North America,i43188,cownose ray|cow-nosed ray|Rhinoptera bonasus,Q10360338
01503495-n,small manta (to 4 feet) that travels in schools,i43194,devil ray|Mobula hypostoma,Q4548397
01504282-n,common European skate used as food,i43198,grey skate|gray skate|Raja batis,Q106445006
01521519-n,fast-running African flightless bird with two-toed feet; largest living bird,i43235,ostrich|Struthio camelus,Q17592
01524040-n,larger of two tall fast-running flightless birds similar to ostriches but three-toed; found from Brazil to Patagonia,i43249,rhea|Rhea americana,Q192044
01524397-n,smaller of two tall fast-running flightless birds similar to ostriches but three-toed; found from Peru to Strait of Magellan,i43251,rhea|nandu|Pterocnemia pennata,Q25006711
01531486-n,a common pipit that is brown above and white below; widely distributed in northern and central Europe and in Asia,i43285,meadow pipit|Anthus pratensis,Q26956
01533819-n,small European finch having a crimson face and yellow-and-black wings,i43293,goldfinch|Carduelis carduelis,Q25418
01533985-n,small Old World finch whose male has a red breast and forehead,i43294,linnet|lintwhite|Carduelis cannabina,Q26034
01534153-n,small yellow-and-black Eurasian finch with a sharp beak,i43295,siskin|Carduelis spinus,Q168881
01534452-n,small siskin-like finch with a red crown and a rosy breast and rump,i43297,redpoll|Carduelis flammea,Q206701
01534612-n,small siskin-like finch with a red crown,i43298,redpoll|Carduelis hornemanni,Q391412
01535152-n,small finch of North American coniferous forests,i43301,pine siskin|pine finch|Spinus pinus,Q26847063
01537223-n,common North American junco having grey plumage and eyes with dark brown irises,i43315,dark-eyed junco|slate-colored junco|Junco hyemalis,Q525818
01537781-n,common North American finch noted for its evening song,i43318,vesper sparrow|grass finch|Pooecetes gramineus,Q776555
01538331-n,finch with black-and-white striped crown,i43321,white-crowned sparrow|Zonotrichia leucophrys,Q686673
01538676-n,small North American finch common in urban areas,i43323,chipping sparrow|Spizella passerina,Q645203
01539285-n,small songbird common in North America,i43327,song sparrow|Melospiza melodia,Q842599
01541003-n,common in Russia and Siberia,i43337,yellow-breasted bunting|Emberiza aureola,Q335535
01542566-n,small hardy brown-and-grey bird native to Europe,i43347,English sparrow|house sparrow|Passer domesticus,Q14683
01543207-n,North American grosbeak,i43351,evening grosbeak|Hesperiphona vespertina,Q25167830
01543743-n,large grosbeak of coniferous forests of Old and New Worlds,i43355,pine grosbeak|Pinicola enucleator,Q214571
01546273-n,small finch-like Indonesian weaverbird that frequents rice fields,i43372,Java sparrow|Java finch|ricebird|Padda oryzivora,Q500278
01553721-n,tropical bird of northern South America the male having brilliant red or orange plumage and an erectile disklike crest,i43414,cock of the rock|Rupicola rupicola,Q652466
01554974-n,black tropical American bird having a large overhanging crest and long feathered wattle,i43422,umbrella bird|Cephalopterus ornatus,Q2469246
01561406-n,European thrush common in rocky areas; the male has blackish plumage with a white band around the neck,i43457,ring ouzel|ring blackbird|ring thrush|Turdus torquatus,Q26641
01563434-n,common European chat with black plumage and a reddish-brown breast,i43470,stonechat|Saxicola torquata,Q40658797
01565092-n,songbird of northern Europe and Asia,i43482,bluethroat|Erithacus svecicus,Q40654550
01566858-n,American kinglet with a notable song and in the male a red crown patch,i43492,ruby-crowned kinglet|ruby-crowned wren|Regulus calendula,Q576050
01567555-n,greyish-brown Old World warbler with a white throat and underparts,i43496,greater whitethroat|whitethroat|Sylvia communis|Curruca communis,Q110257516
01567719-n,Old World warbler similar to the greater whitethroat but smaller,i43497,lesser whitethroat|whitethroat|Sylvia curruca,Q206089
01567986-n,European woodland warbler with dull yellow plumage,i43499,wood warbler|Phylloscopus sibilatrix,Q27075477
01568848-n,tropical Asian warbler that stitches leaves together to form and conceal its nest,i43505,tailorbird|Orthotomus sutorius,Q795556
01570520-n,yellow wood warbler with a black crown,i43513,Wilson's warbler|Wilson's blackcap|Wilsonia pusilla,Q1146827
01571361-n,North American wood warbler; olive green and yellow striped with black,i43518,Cape May warbler|Dendroica tigrina,Q1586243
01571903-n,common warbler of western North America,i43521,Audubon's warbler|Audubon warbler|Dendroica auduboni,Q40654149
01572612-n,American warbler noted for imitating songs of other birds,i43526,yellow-breasted chat|Icteria virens,Q787047
01572908-n,American warbler; builds a dome-shaped nest on the ground,i43528,ovenbird|Seiurus aurocapillus,Q40659522
01576001-n,a meadowlark of western North America,i43547,western meadowlark|Sturnella neglecta,Q1368136
01576268-n,black-and-red or black-and-yellow orioles of the American tropics,i43549,cacique|cazique,Q599898
01577201-n,eastern United States grackle,i43555,purple grackle|Quiscalus quiscula,Q1424486
01580099-n,glossy black bird with pink back and abdomen; chiefly Asian,i43573,rose-colored starling|rose-colored pastor|Pastor sturnus|Pastor roseus,Q20823352
01580582-n,dark brown crested bird of southeastern Asia,i43576,crested myna|Acridotheres tristis,Q116667
01583511-n,common jay of eastern North America; bright blue with grey breast,i43595,blue jay|jaybird|Cyanocitta cristata,Q199758
01583807-n,a jay of northern North America with black-capped head and no crest; noted for boldness in thievery,i43597,Canada jay|grey jay|gray jay|camp robber|whisker jack|Perisoreus canadensis,Q80858
01584625-n,nutcracker of the western United States,i43602,Clark's nutcracker|Nucifraga columbiana,Q1142785
01585039-n,a common magpie of Eurasia,i43605,European magpie|Pica pica,Q25307
01587336-n,small wren of coniferous forests of Northern Hemisphere,i43618,winter wren|Troglodytes troglodytes,Q25740
01588063-n,small American wren inhabiting wet sedgy meadows,i43623,sedge wren|short-billed marsh wren|Cistothorus platensis,Q746317
01588356-n,wren inhabiting badlands and mesa country of western United States and Mexico,i43625,rock wren|Salpinctes obsoletus,Q935880
01588661-n,large United States wren with a musical call,i43627,Carolina wren|Thryothorus ludovicianus,Q1585636
01589919-n,mockingbird of Mexico,i43634,blue mockingbird|Melanotis caerulescens,Q1587047
01591366-n,short-tailed bird resembling a wren,i43643,rock wren|Xenicus gilviventris,Q135589
01591637-n,small green-and-bronze bird,i43645,rifleman bird|Acanthisitta chloris,Q646366
01592359-n,a common creeper in North America with a down-curved bill,i43649,brown creeper|American creeper|Certhia americana,Q490294
01593646-n,a kind of nuthatch,i43656,European nuthatch|Sitta europaea,Q156767
01595923-n,small brown bird of California resembling a wren,i43670,wren-tit|Chamaea fasciata,Q1048896
01598615-n,common small European martin that builds nests under the eaves of houses,i43686,house martin|Delichon urbica,Q40654079
01598914-n,swallow of the Northern Hemisphere that nests in tunnels dug in clay or sand banks,i43688,bank martin|bank swallow|sand martin|Riparia riparia,Q25909
01599249-n,large North American martin of which the male is blue-black,i43690,purple martin|Progne subis,Q1062485
01600715-n,of middle and southern United States; male is deep rose-red the female mostly yellow,i43699,summer tanager|summer redbird|Piranga rubra,Q1078246
01601800-n,a common European butcherbird,i43705,European shrike|Lanius excubitor,Q184508
01601910-n,a butcherbird of northern North America,i43706,northern shrike|Lanius borealis,Q31874734
01602982-n,a kind of bush shrike,i43713,black-fronted bush shrike|Chlorophoneus nigrifrons,Q27075292
01603709-n,of southeast Australia; male is glossy violet blue; female is light grey-green,i43717,satin bowerbird|satin bird|Ptilonorhynchus violaceus,Q585670
01604721-n,a water ouzel of Europe,i43723,European water ouzel|Cinclus aquaticus,Q107055630
01604850-n,a water ouzel of western North America,i43724,American water ouzel|Cinclus mexicanus,Q912010
01605641-n,of eastern North America having a bluish-grey head and mostly green body,i43729,solitary vireo|Vireo solitarius,Q1586476
01609163-n,large hawk of Eurasia and North America used in falconry,i43745,goshawk|Accipiter gentilis,Q25353
01609313-n,small hawk of Eurasia and northern Africa,i43746,sparrow hawk|Accipiter nisus,Q25380
01610241-n,large hawk of the Northern Hemisphere that feeds chiefly on small rodents and is beneficial to farmers,i43752,rough-legged hawk|roughleg|Buteo lagopus,Q26407
01610906-n,Old World hawk that feeds on bee larvae and small rodents and reptiles,i43756,honey buzzard|Pernis apivorus,Q170466
01611703-n,graceful North American black-and-white kite,i43761,swallow-tailed kite|swallow-tailed hawk|Elanoides forficatus,Q430540
01612597-n,Old World harrier frequenting marshy regions,i43766,marsh harrier|Circus aeruginosus,Q26431
01612741-n,brownish European harrier,i43767,Montagu's harrier|Circus pygargus,Q26574
01612867-n,common harrier of North America and Europe; nests in marshes and open land,i43768,marsh hawk|northern harrier|hen harrier|Circus cyaneus,Q25572
01614610-n,small Old World falcon that hovers in the air against a wind,i43777,kestrel|Falco tinnunculus,Q26490
01614916-n,small falcon of Europe and America having dark plumage with black-barred tail; used in falconry,i43779,pigeon hawk|merlin|Falco columbarius,Q131918
01615818-n,South American caracara,i43784,carancha|Polyborus plancus,Q40657867
01616984-n,large eagle of mountainous regions of the Northern Hemisphere having a golden-brown head and neck,i43791,golden eagle|Aquila chrysaetos,Q41181
01617197-n,brownish eagle of Africa and parts of Asia,i43792,tawny eagle|Aquila rapax,Q374141
01617944-n,found on coasts of the northwestern Pacific,i43797,Kamchatkan sea eagle|Stellar's sea eagle|Haliaeetus pelagicus,Q269896
01619192-n,in some classifications considered the family comprising the Old World vultures which are more often included in the family Accipitridae,i43804,Aegypiidae|family Aegypiidae,Q13428438
01619736-n,large vulture of southern Europe and northern Africa having pale plumage with black wings,i43807,griffon vulture|griffon|Gyps fulvus,Q177856
01620084-n,the largest Eurasian bird of prey; having black feathers hanging around the bill,i43809,bearded vulture|lammergeier|lammergeyer|Gypaetus barbatus,Q126167
01620407-n,small mostly white vulture of Africa and southern Eurasia,i43811,Egyptian vulture|Pharaoh's chicken|Neophron percnopterus,Q33504
01621144-n,large long-legged African bird of prey that feeds on reptiles,i43816,secretary bird|Sagittarius serpentarius,Q168748
01622776-n,North American condor; chiefly dull black; almost extinct,i43825,California condor|Gymnogyps californianus,Q194314
01623055-n,American vulture smaller than the turkey buzzard,i43827,black vulture|carrion crow|Coragyps atratus,Q213366
01624761-n,small European owl,i43835,little owl|Athene noctua,Q129958
01625600-n,reddish-brown European owl having a round head with black eyes,i43841,tawny owl|Strix aluco,Q25756
01626066-n,small North American owl having hornlike tufts of feathers whose call sounds like a quavering whistle,i43844,screech owl|Otus asio,Q40657257
01626521-n,a large owl of North America found in forests from British Columbia to central Mexico; has dark brown plumage and a heavily spotted chest,i43847,spotted owl|Strix occidentalis,Q748921
01626756-n,European scops owl,i43848,Old World scops owl|Otus scops,Q171563
01626853-n,Asian scops owl,i43849,Oriental scops owl|Otus sunia,Q1260390
01627178-n,grey-and-white diurnal hawk-like owl of northern parts of the Northern Hemisphere,i43852,hawk owl|Surnia ulula,Q193192
01628203-n,mottled buff and white owl often inhabiting barns and other structures; important in rodent control,i43859,barn owl|Tyto alba,Q25317
01632789-n,ovoviviparous amphibian of the Alps,i43875,alpine salamander|Salamandra atra,Q259425
01633311-n,small semiaquatic salamander,i43878,common newt|Triturus vulgaris,Q50407527
01633542-n,red terrestrial form of a common North American newt,i43880,red eft|Notophthalmus viridescens,Q1552306
01634153-n,newt that is similar to Taricha granulosa in characteristics and habitat,i43884,California newt|Taricha torosa,Q1358580
01638121-n,small large-eyed semiaquatic salamander of the United States Northwest,i43909,olympic salamander|Rhyacotriton olympicus,Q786946
01638993-n,common salamander of eastern North America,i43913,eastern red-backed salamander|Plethodon cinereus,Q1092717
01639151-n,salamander of the Pacific coast of North America,i43914,western red-backed salamander|Plethodon vehiculum,Q2510325
01640970-n,similar to Shasta salamander; lives in cliff crevices and taluses,i43925,limestone salamander|Hydromantes brunus,Q308239
01646537-n,large toothed frog of South America and Central America resembling the bullfrog,i43953,crapaud|South American bullfrog|Leptodactylus pentadactylus,Q2136945
01649029-n,largest known toad species; native to Central America; valuable destroyer of insect pests,i43967,agua|agua toad|Bufo marinus,Q13165156
01649443-n,common toad of America,i43970,American toad|Bufo americanus|Anaxyrus americanus,Q694496
01649543-n,Eurasian toad with variable chiefly green coloring,i43971,Eurasian green toad|Bufo viridis|Bufotes viridis,Q21245936
01649944-n,nocturnal burrowing toad of mesquite woodland and prairies of the United States southwest,i43974,Texas toad|Bufo speciosus|Anaxyrus speciosus,Q28032645
01651261-n,toad of central and eastern Europe having red or orange patches mixed with black on its underside,i43982,fire-bellied toad|Bombina bombina,Q372267
01654282-n,a cricket frog of eastern and central United States,i43998,northern cricket frog|Acris crepitans,Q2673608
01655667-n,small secretive toad with smooth tough skin of central and western North America,i44006,western narrow-mouthed toad|Gastrophryne olivacea,Q2720420
01655864-n,small toad of southeastern United States,i44007,eastern narrow-mouthed toad|Gastrophryne carolinensis,Q2181155
01666706-n,very large carnivorous sea turtle; wide-ranging in warm open seas,i44042,loggerhead|loggerhead turtle|Caretta caretta,Q192095
01667315-n,olive-colored sea turtle of tropical Pacific and Indian and the southern Atlantic oceans,i44046,Pacific ridley|olive ridley|Lepidochelys olivacea,Q282385
01668182-n,wide-ranging marine turtle with flexible leathery carapace; largest living turtle,i44051,leatherback turtle|leatherback|leathery turtle|Dermochelys coriacea,Q120043
01672013-n,primarily a prairie turtle of western United States and northern Mexico,i44073,Western box turtle|Terrapene ornata,Q2302528
01672295-n,freshwater turtles having bright yellow and red markings; common in the eastern United States,i44075,painted turtle|painted terrapin|painted tortoise|Chrysemys picta,Q199203
01673176-n,small land tortoise of southern Europe,i44079,European tortoise|Testudo graeca,Q504549
01674120-n,burrowing tortoise of the arid western United States and northern Mexico; may be reclassified as a member of genus Xerobates,i44085,desert tortoise|Gopherus agassizii,Q914356
01675073-n,river turtle of western United States with a warty shell; prefers quiet water,i44090,spiny softshell|Trionyx spiniferus,Q106449030
01675252-n,river turtle of Mississippi basin; prefers running water,i44091,smooth softshell|Trionyx muticus,Q106449022
01681298-n,swift lizard with long black-banded tail and long legs; of deserts of United States and Mexico,i44119,zebra-tailed lizard|gridiron-tailed lizard|Callisaurus draconoides,Q169498
01683969-n,one of the most abundant lizards in the arid western United States,i44135,side-blotched lizard|sand lizard|Uta stansburiana,Q1414026
01684813-n,of arid and semiarid open country,i44140,Texas horned lizard|Phrynosoma cornutum,Q748410
01688685-n,very swift lizard of eastern and central United States,i44163,racerunner|race runner|six-lined racerunner|Cnemidophorus sexlineatus,Q18324831
01688861-n,having distinct longitudinal stripes: of Colorado Plateau from Arizona to western Colorado,i44164,plateau striped whiptail|Cnemidophorus velox,Q5085972
01689044-n,having longitudinal stripes overlaid with light spots; upland lizard of United States southwest and Mexico,i44165,Chihuahuan spotted whiptail|Cnemidophorus exsanguis,Q43306334
01689449-n,markings are darker and more marked than in western whiptail; from southeastern Colorado to eastern Chihuahua,i44167,checkered whiptail|Cnemidophorus tesselatus,Q43308270
01691722-n,desert lizard that feeds on ants,i44181,mountain devil|spiny lizard|Moloch horridus,Q320665
01692790-n,small burrowing legless European lizard with tiny eyes; popularly believed to be blind,i44187,blindworm|slowworm|Anguis fragilis,Q183660
01695816-n,a common and widely distributed lizard of Europe and central Asia,i44205,sand lizard|Lacerta agilis,Q148595
01695975-n,a common Eurasian lizard about a foot long,i44206,green lizard|Lacerta viridis,Q307047
01697596-n,destroys crocodile eggs,i44215,African monitor|Varanus niloticus,Q737896
01700252-n,estuarine crocodile of eastern Asia and Pacific islands,i44228,Asian crocodile|Crocodylus porosus,Q182599
01701423-n,small alligator of the Yangtze valley of China having unwebbed digits,i44236,Chinese alligator|Alligator sinensis,Q194422
01701895-n,caiman with bony ridges about the eyes; found from southern Mexico to Argentina,i44239,spectacled caiman|Caiman sclerops,Q107333250
01702316-n,large fish-eating Indian crocodilian with a long slender snout,i44242,gavial|Gavialis gangeticus,Q17134
01732948-n,of southern and eastern United States,i44405,rough green snake|Opheodrys aestivus,Q426062
01734405-n,a whipsnake of southern United States and Mexico; tail resembles a braided whip,i44415,coachwhip|coachwhip snake|Masticophis flagellum,Q43373908
01735255-n,large harmless snake of southeastern United States; often on farms,i44420,corn snake|red rat snake|Elaphe guttata,Q22915197
01735430-n,large harmless shiny black North American snake,i44421,black rat snake|blacksnake|pilot blacksnake|mountain blacksnake|Elaphe obsoleta,Q18324838
01736107-n,nocturnal burrowing snake of western United States with shiny tan scales,i44426,glossy snake|Arizona elegans,Q670937
01736598-n,bull snake of western North America that invades rodent burrows,i44429,gopher snake|Pituophis melanoleucus,Q1663774
01737449-n,nonvenomous tan and brown king snake with an arrow-shaped occipital spot; southeastern ones have red stripes like coral snakes,i44434,milk snake|house snake|milk adder|checkered adder|Lampropeltis triangulum,Q1257513
01738369-n,yellow- or reddish-striped snake of temperate woodlands and grasslands to tropics,i44439,Western ribbon snake|Thamnophis proximus,Q2565456
01738673-n,secretive snake of city dumps and parks as well as prairies and open woods; feeds on earthworms; of central United States,i44441,lined snake|Tropidoclonion lineatum,Q2156927
01739016-n,small shy brightly-ringed terrestrial snake of arid or semiarid areas of western North America,i44443,ground snake|Sonora semiannulata,Q3021047
01739437-n,in some classifications placed in genus Haldea; small reddish-grey snake of eastern North America,i44446,eastern ground snake|Potamophis striatula|Haldea striatula,Q3019094
01740113-n,in some classifications placed in the genus Nerodia; western United States snake that seldom ventures far from water,i44450,common water snake|banded water snake|Natrix sipedon|Nerodia sipedon,Q2163958
01740516-n,harmless European snake with a bright yellow collar; common in England,i44452,grass snake|ring snake|ringed snake|Natrix natrix,Q170713
01740706-n,a small harmless grass snake,i44453,viperine grass snake|Natrix maura,Q1541871
01742772-n,nocturnal prowler of western United States and Mexico,i44467,night snake|Hypsiglena torquata,Q922205
01743873-n,large dark-blue nonvenomous snake that invades burrows; found in southern North America and Mexico,i44474,indigo snake|gopher snake|Drymarchon corais,Q3014273
01745727-n,large arboreal boa of tropical South America,i44485,anaconda|Eunectes murinus,Q207347
01746741-n,of southeast Asia and East Indies; the largest snake in the world,i44491,reticulated python|Python reticulatus,Q216136
01746911-n,very large python of southeast Asia,i44492,Indian python|Python molurus,Q245183
01747042-n,very large python of tropical and southern Africa,i44493,rock python|rock snake|Python sebae,Q764797
01748543-n,ranges from Central America to southeastern United States,i44499,eastern coral snake|Micrurus fulvius,Q1513945
01748832-n,ranges from Central America to southwestern United States,i44501,western coral snake|Micruroides euryxanthus,Q167912
01749593-n,small widely distributed arboreal snake of southern Africa banded in black and orange,i44506,African coral snake|Aspidelaps lubricus,Q1285063
01750905-n,a cobra of tropical Africa and Asia,i44514,Indian cobra|Naja naja,Q192754
01751327-n,aggressive cobra widely distributed in Africa; rarely bites but spits venom that may cause blindness,i44517,black-necked cobra|spitting cobra|Naja nigricollis,Q386619
01752383-n,a highly venomous southern African mamba dreaded because of its quickness and readiness to bite,i44523,Dendroaspis angusticeps|eastern green mamba,Q622805
01752808-n,venomous Australian snake resembling an adder,i44526,death adder|Acanthophis antarcticus,Q1454860
01753078-n,highly venomous brown-and-yellow snake of Australia and Tasmania,i44528,tiger snake|Notechis scutatus,Q1520949
01753384-n,large semiaquatic snake of Australia; black above with red belly,i44530,Australian blacksnake|Pseudechis porphyriacus,Q2005433
01753856-n,sluggish krait banded with black and yellow,i44533,banded krait|banded adder|Bungarus fasciatus,Q40581
01754113-n,large highly venomous snake of northeastern Australia,i44535,taipan|Oxyuranus scutellatus,Q2321476
01755673-n,large African viper that inflates its body when alarmed,i44544,puff adder|Bitis arietans,Q369667
01755821-n,large heavy-bodied brilliantly marked and extremely venomous west African viper,i44545,gaboon viper|Bitis gabonica,Q371183
01758730-n,widely distributed between the Mississippi and the Rockies,i44559,prairie rattlesnake|prairie rattler|Western rattlesnake|Crotalus viridis,Q1515347
01759149-n,largest and most dangerous North American snake; of southwestern United States and Mexico,i44561,Western diamondback|Western diamondback rattlesnake|Crotalus atrox,Q222287
01759374-n,mountain rock dweller of Mexico and most southern parts of United States southwest,i44562,rock rattlesnake|Crotalus lepidus,Q646391
01759557-n,having irregularly cross-banded back; of arid foothills and canyons of southern Arizona and Mexico,i44563,tiger rattlesnake|Crotalus tigris,Q617863
01759984-n,markings vary but usually harmonize with background; of southwestern Arizona and Baja California,i44565,speckled rattlesnake|Crotalus mitchellii,Q1498023
01777025-n,venomous New World spider; the female is black with an hourglass-shaped red mark on the underside of the abdomen,i44613,black widow|Latrodectus mactans,Q113297
01779945-n,a northeastern tick now recognized as same species as Ixodes scapularis,i44628,Ixodes dammini|deer tick,Q129496515
01780290-n,a tick that feeds on dusky-footed wood rat and bites humans; principal vector for Lyme disease in western United States especially northern California,i44630,Ixodes pacificus|western black-legged tick,Q2714455
01780550-n,parasitic on mice of genus Peromyscus and bites humans; principal vector for Lyme disease in eastern United States (especially New England); northern form was for a time known as Ixodes dammini (deer tick),i44631,Ixodes scapularis|black-legged tick,Q1497962
